id,age,income,total_transactions,total_amount_spent,offers_received,offers_viewed,offers_completed,cluster,cluster_name
5917d13f6fa04286abdf95f4d5cefb1e,67.0,96000.0,8.0,206.88,4.0,3.0,8.0,3,Affluent Moderates
d1ede868e29245ea91818a903fec04c6,53.0,52000.0,5.0,18.740000000000002,5.0,3.0,2.0,0,Low-Engagement Customers
1e9420836d554513ab90eba98552d0a9,22.0,70000.0,6.0,106.38,6.0,6.0,8.0,1,High-Value Loyalists
868317b9be554cb18e50bc68484749a2,96.0,89000.0,4.0,81.92,5.0,2.0,8.0,3,Affluent Moderates
f082d80f0aac47a99173ba8ef8fc1909,40.0,33000.0,14.0,40.94,6.0,4.0,2.0,4,Frequent Low-Spenders
102e9454054946fda62242d2e176fdce,69.0,57000.0,14.0,213.49,6.0,6.0,8.0,1,High-Value Loyalists
8dabe2142cdf4013a6f4786edf8ab00f,56.0,68000.0,9.0,167.67000000000002,3.0,2.0,4.0,2,Low-Spend Infrequent Users
9f30b375d7bd4c62a884ffe7034e09ee,26.0,63000.0,21.0,73.38,3.0,3.0,4.0,4,Frequent Low-Spenders
6e014185620b49bd98749f728747572f,75.0,40000.0,10.0,155.53,4.0,3.0,8.0,4,Frequent Low-Spenders
02c083884c7d45b39cc68e1314fec56c,20.0,30000.0,10.0,29.89,2.0,1.0,0.0,2,Low-Spend Infrequent Users
c0d210398dee4a0895b24444a5fcd1d2,45.0,33000.0,8.0,61.25,5.0,5.0,6.0,4,Frequent Low-Spenders
8b70ca1f5f5a45bdac2ac2f990b71526,61.0,98000.0,8.0,234.43,5.0,4.0,8.0,1,High-Value Loyalists
8e7c7465e98c43d8a01f51e2b5c29542,69.0,37000.0,12.0,32.72,5.0,3.0,2.0,0,Low-Engagement Customers
57dd18ec5ddc46828afb81ec5977bef2,54.0,80000.0,9.0,249.4,6.0,5.0,6.0,1,High-Value Loyalists
be8a5d1981a2458d90b255ddc7e0d174,39.0,51000.0,14.0,51.91,5.0,3.0,2.0,4,Frequent Low-Spenders
3f89b8f80ebc4f94b7074f28071aa8d4,41.0,41000.0,18.0,62.510000000000005,4.0,2.0,6.0,4,Frequent Low-Spenders
a3b9b4bf115e4564933ea2e4bc936843,79.0,48000.0,15.0,152.0,4.0,2.0,4.0,4,Frequent Low-Spenders
7584948ea6d04f94b8798624706261c2,66.0,38000.0,5.0,56.08,4.0,4.0,2.0,0,Low-Engagement Customers
e9844d5beac04bf8b8d3ad18f7e37fca,56.0,52000.0,7.0,87.11,3.0,1.0,6.0,2,Low-Spend Infrequent Users
f247806381704ea58c1b06f60602a6ae,39.0,56000.0,13.0,150.23000000000002,5.0,3.0,6.0,4,Frequent Low-Spenders
9fa9ae8f57894cc9a3b8a9bbe0fc1b2f,42.0,96000.0,12.0,320.48,4.0,4.0,8.0,1,High-Value Loyalists
fe8264108d5b4f198453bbb1fa7ca6c9,78.0,93000.0,8.0,225.54999999999998,5.0,5.0,10.0,1,High-Value Loyalists
186d6403f5824c739555b732f4af3f16,45.0,48000.0,6.0,17.0,4.0,2.0,0.0,2,Low-Spend Infrequent Users
8a87fda1a6644337b4394a4c3cd0946c,29.0,50000.0,12.0,38.17,4.0,2.0,2.0,2,Low-Spend Infrequent Users
b7a66e629b134079a9bc7120c7b9947b,44.0,35000.0,18.0,150.23,4.0,4.0,8.0,4,Frequent Low-Spenders
ca82e1ebc759402c8ab95c341755bdf1,63.0,56000.0,9.0,121.62,3.0,3.0,6.0,3,Affluent Moderates
54890f68699049c2a04d415abc25e717,36.0,56000.0,7.0,118.85000000000001,3.0,2.0,4.0,2,Low-Spend Infrequent Users
ab66a363907e43e9a7cd535f1578245b,76.0,47000.0,6.0,22.65,5.0,3.0,2.0,0,Low-Engagement Customers
d3f146b615514c6380b168bb3df5f05b,68.0,87000.0,8.0,177.18,5.0,5.0,10.0,1,High-Value Loyalists
a5a6ef2b78a04ddc9f374dd7c7f60bff,75.0,52000.0,11.0,135.54,3.0,3.0,4.0,3,Affluent Moderates
2e87ba0fba1a4d1a8614af771f07a94d,67.0,76000.0,12.0,200.78,5.0,5.0,8.0,1,High-Value Loyalists
d8af520c4a8a4c77b921098d7d838c4d,77.0,51000.0,11.0,23.81,5.0,4.0,0.0,0,Low-Engagement Customers
39dbcf43e24d41f4bbf0f134157e0e1e,76.0,64000.0,8.0,110.92,3.0,2.0,2.0,2,Low-Spend Infrequent Users
b62e66ca4dcf4df39fd522e750a88d81,57.0,98000.0,1.0,27.24,3.0,0.0,4.0,3,Affluent Moderates
8c7df0c393db488aac3e58b06a7ea5f9,53.0,72000.0,9.0,167.88,6.0,4.0,10.0,1,High-Value Loyalists
3a1242dda16248728e350c4bdeb21972,53.0,117000.0,10.0,303.2,5.0,4.0,10.0,1,High-Value Loyalists
8045834137dc47faa24f2c4547969f33,53.0,55000.0,8.0,20.18,5.0,3.0,2.0,0,Low-Engagement Customers
fb98ebe9e3e14afaa5b5db182b00b7ec,61.0,112000.0,2.0,67.25,5.0,5.0,4.0,3,Affluent Moderates
5cd6577aca5d4b419e452f9f505ffce7,67.0,77000.0,8.0,155.73,3.0,3.0,2.0,3,Affluent Moderates
99e9a1916821461ebd5d5048dc2dff7d,58.0,85000.0,15.0,290.42,4.0,4.0,8.0,1,High-Value Loyalists
e528ceb341964128aaf58a59733ec2af,46.0,36000.0,5.0,17.13,5.0,3.0,0.0,0,Low-Engagement Customers
faf74115a43b4f718f4d4c0de116ee8a,30.0,41000.0,4.0,11.95,2.0,2.0,0.0,2,Low-Spend Infrequent Users
0b73997a269247088b2a63355f53ee58,59.0,89000.0,2.0,45.400000000000006,6.0,4.0,4.0,0,Low-Engagement Customers
f44b44b53c0548d5b27c812fda4c358a,51.0,41000.0,20.0,75.96000000000001,6.0,4.0,6.0,4,Frequent Low-Spenders
6e04a90a0e074496b5f229eb1f553433,27.0,35000.0,12.0,29.56,5.0,4.0,2.0,4,Frequent Low-Spenders
262ad0fb526a4d53b572007da60cce24,40.0,53000.0,5.0,8.17,4.0,3.0,0.0,2,Low-Spend Infrequent Users
a2b7a0b3487a4d779ddf4e11a034e2ee,73.0,91000.0,4.0,109.16,5.0,5.0,6.0,3,Affluent Moderates
2c5c63e5124e417b8504f76c868a4190,74.0,107000.0,10.0,298.3,5.0,4.0,8.0,1,High-Value Loyalists
9d6da0a2ac54474e8ec986fd21cecef0,42.0,66000.0,7.0,136.94,3.0,2.0,4.0,2,Low-Spend Infrequent Users
571b739ada3041fb8fbd20f23ce034f7,78.0,58000.0,10.0,126.94,6.0,6.0,6.0,1,High-Value Loyalists
816afd4505d047cf893275fbfe825590,54.0,53000.0,18.0,57.03,6.0,5.0,4.0,4,Frequent Low-Spenders
13b7b2eccf664a329d83d2a238a9a11d,70.0,74000.0,0.0,0.0,3.0,3.0,0.0,2,Low-Spend Infrequent Users
68eee228713c429ebe1300155ad1fb33,49.0,57000.0,10.0,184.78,5.0,5.0,6.0,1,High-Value Loyalists
ffc6c9fbe34b4578911dcdf6745b4c74,62.0,57000.0,0.0,0.0,3.0,2.0,0.0,2,Low-Spend Infrequent Users
cbebad9819494b479dbf0c1207b4c0c5,64.0,70000.0,9.0,140.34,4.0,4.0,8.0,1,High-Value Loyalists
4264b1d027cc493281bba4f44bfedaca,89.0,87000.0,9.0,248.63,4.0,3.0,8.0,3,Affluent Moderates
0ba6e2ad781c4429afd26cf0b35f2d11,73.0,51000.0,9.0,23.43,5.0,4.0,2.0,0,Low-Engagement Customers
b5abc1e85be84f43937b4fca0ad238cb,50.0,93000.0,12.0,297.29,5.0,5.0,8.0,1,High-Value Loyalists
1c587de019994f93a242c6864fd7bc55,90.0,98000.0,3.0,80.03,4.0,1.0,2.0,3,Affluent Moderates
3f4e408b0b2d4ea89dd16d7437d867c1,68.0,84000.0,2.0,34.04,5.0,0.0,2.0,3,Affluent Moderates
13bda8fbd70a4814b956df1d55320398,60.0,64000.0,12.0,44.14,3.0,2.0,2.0,2,Low-Spend Infrequent Users
b19c8e7ac2ff40ae92b4fcf3247f8912,45.0,54000.0,6.0,11.51,5.0,3.0,0.0,0,Low-Engagement Customers
21c73d53e2a74bb1b4dc172bff2b1aad,66.0,49000.0,18.0,200.93,6.0,5.0,10.0,1,High-Value Loyalists
1abeb816d9fa49b4b5b5ae51bc3d24c3,19.0,73000.0,11.0,202.75,5.0,3.0,6.0,4,Frequent Low-Spenders
92e07c49ee7448fca6e48df0c96e3eec,66.0,58000.0,10.0,163.53,5.0,4.0,6.0,1,High-Value Loyalists
f8aedd0cbea0419c806842b4265b82e5,72.0,72000.0,12.0,201.92,6.0,5.0,12.0,1,High-Value Loyalists
a9780228a1d04539afdee8b745e4be10,76.0,63000.0,13.0,224.76,5.0,5.0,8.0,1,High-Value Loyalists
94f14dcfedba47e18b7efca13dd7574b,52.0,78000.0,6.0,117.92,5.0,3.0,10.0,1,High-Value Loyalists
8a4bc602e4424ab6b16f0b907f2f22af,55.0,31000.0,5.0,30.729999999999997,4.0,2.0,2.0,2,Low-Spend Infrequent Users
6d28f18e91324d358d69d1e4b01f1ace,39.0,60000.0,12.0,705.5,4.0,4.0,6.0,1,High-Value Loyalists
52f0bd64403f4958ab8fe9a6947c13c3,45.0,44000.0,16.0,163.71,6.0,2.0,10.0,4,Frequent Low-Spenders
93e67942586e43fb87d5ffb1ead8db41,57.0,114000.0,8.0,184.82,6.0,5.0,10.0,1,High-Value Loyalists
e641af076cc54529bec6ab61fc25f4a6,74.0,48000.0,3.0,6.86,3.0,1.0,0.0,2,Low-Spend Infrequent Users
716a961d2afb4c1d8307522a8cbb4f07,18.0,47000.0,22.0,275.61,6.0,4.0,10.0,4,Frequent Low-Spenders
13033baa9d294c3c9165a00d71b72614,53.0,96000.0,5.0,138.84,5.0,5.0,8.0,1,High-Value Loyalists
15953663abf54181adf1fd4c39442b85,59.0,98000.0,4.0,112.03999999999999,3.0,1.0,6.0,3,Affluent Moderates
0ac5ffb0f1624297a453494b845e1a91,57.0,46000.0,10.0,34.22,4.0,3.0,2.0,2,Low-Spend Infrequent Users
1a353048b0884fc5a0afa27677ef1e80,51.0,56000.0,7.0,40.94,5.0,4.0,4.0,0,Low-Engagement Customers
2cf5895bddf9467e878c6d51a622d5fb,64.0,37000.0,7.0,51.37,5.0,5.0,6.0,0,Low-Engagement Customers
6747dda08bed46298c23e05b64820a3a,71.0,57000.0,12.0,30.14,4.0,3.0,0.0,2,Low-Spend Infrequent Users
f35b342b24734da18a830bb9329a4fbd,64.0,66000.0,4.0,50.349999999999994,4.0,4.0,4.0,0,Low-Engagement Customers
4c29d22467af4d7faa137c4eedd65340,83.0,46000.0,5.0,16.77,5.0,5.0,0.0,0,Low-Engagement Customers
e997a086fc13446da2aa9070d98d191a,26.0,71000.0,4.0,13.799999999999999,5.0,3.0,0.0,0,Low-Engagement Customers
17af917bb842480e925e49a8ca08c1f8,29.0,58000.0,12.0,30.48,5.0,5.0,2.0,4,Frequent Low-Spenders
bf8d7498eb32431ab3fedaa14b7d3a0d,43.0,70000.0,1.0,2.03,4.0,3.0,0.0,2,Low-Spend Infrequent Users
3dae0eadb47149b0b9b548d14548524b,89.0,65000.0,7.0,124.82000000000001,4.0,4.0,6.0,3,Affluent Moderates
5404741ead9442bdbd4b9aa2273e85af,49.0,79000.0,2.0,24.93,5.0,5.0,4.0,0,Low-Engagement Customers
81e9ad5fa55a4884b65e01a5db8f1b4e,79.0,67000.0,18.0,317.03,4.0,3.0,6.0,1,High-Value Loyalists
b2f1cd155b864803ad8334cdf13c4bd2,55.0,94000.0,8.0,195.35,5.0,5.0,6.0,1,High-Value Loyalists
37a97f6e09784a07bbb67bc6539f1a00,55.0,66000.0,19.0,272.23,5.0,3.0,4.0,4,Frequent Low-Spenders
77927096ab4144fa930b4cadd4773cc2,45.0,31000.0,5.0,16.46,4.0,3.0,0.0,2,Low-Spend Infrequent Users
acbc358a8bf44ba88d0de1f2bec5b2ab,52.0,30000.0,5.0,9.799999999999999,4.0,2.0,0.0,2,Low-Spend Infrequent Users
8ca29d07b300474786a6016fe76174dd,39.0,55000.0,9.0,156.54,4.0,3.0,8.0,4,Frequent Low-Spenders
88baa20c29a94178a43a7d68e5f039d4,77.0,69000.0,3.0,60.25,4.0,2.0,2.0,3,Affluent Moderates
a2bd377c7ab74d93bbfd87f70043a9f8,66.0,60000.0,6.0,30.9,5.0,3.0,4.0,0,Low-Engagement Customers
23f9e3baf42b43148fee9bbbc3530c7a,69.0,87000.0,2.0,53.21,4.0,4.0,4.0,3,Affluent Moderates
8486e692a5f94d179d507eaca848ecbd,74.0,53000.0,4.0,55.129999999999995,2.0,2.0,2.0,2,Low-Spend Infrequent Users
49f22e86d2db41878778d70958dc744e,75.0,87000.0,5.0,114.7,5.0,5.0,8.0,1,High-Value Loyalists
28de174a5c854dd1be3187dc6edae45b,59.0,85000.0,7.0,193.10000000000002,6.0,5.0,8.0,1,High-Value Loyalists
a1eb338ccbca4cc88c9366939f16d819,47.0,66000.0,5.0,74.17,3.0,3.0,4.0,2,Low-Spend Infrequent Users
220a39cdfd6b41268c43a2e588fcb7e0,20.0,69000.0,1.0,0.87,4.0,2.0,0.0,2,Low-Spend Infrequent Users
0c89378f14804b42b6e63e4dc26e8d3e,60.0,108000.0,4.0,127.28,4.0,4.0,4.0,3,Affluent Moderates
464d2302b99b46ad8eb3e42e1b849c24,65.0,61000.0,6.0,24.000000000000004,5.0,2.0,6.0,3,Affluent Moderates
3f36bc1d5fc0499b9f96f62348f0f9b0,33.0,43000.0,8.0,19.78,4.0,1.0,2.0,2,Low-Spend Infrequent Users
fe97aa22dd3e48c8b143116a8403dd52,39.0,67000.0,11.0,562.77,5.0,5.0,2.0,1,High-Value Loyalists
dbca75f289544e09836322ba2e104854,49.0,59000.0,6.0,38.26,3.0,2.0,2.0,2,Low-Spend Infrequent Users
c863af14b3654499b1caea5e640136d2,68.0,58000.0,2.0,17.19,5.0,5.0,0.0,0,Low-Engagement Customers
d7dc31e069124ef49e1bb937cb89f41c,42.0,80000.0,3.0,53.74,3.0,3.0,2.0,2,Low-Spend Infrequent Users
1827da57bb924833a6f73c79b5f2bbc5,72.0,33000.0,5.0,8.14,6.0,3.0,0.0,0,Low-Engagement Customers
721eb06ac285463aa6e1184e0ea9b7f0,18.0,49000.0,10.0,30.47,5.0,3.0,4.0,4,Frequent Low-Spenders
d594b1f288674594a02c8527e5837ade,32.0,42000.0,7.0,71.19,2.0,1.0,4.0,2,Low-Spend Infrequent Users
0f54094029ca4107bfd36203aeb3ed14,67.0,50000.0,3.0,33.07,5.0,5.0,2.0,0,Low-Engagement Customers
5f18c5754dc04baaa1267c823f877a85,52.0,42000.0,3.0,5.4,5.0,2.0,0.0,2,Low-Spend Infrequent Users
d8567f1400d8486cb31c6abba64389ec,38.0,64000.0,9.0,150.94,3.0,2.0,6.0,2,Low-Spend Infrequent Users
30fae86966114f6e83c3043b22b6b7c4,60.0,77000.0,5.0,106.91000000000001,6.0,5.0,10.0,1,High-Value Loyalists
fd700397b7c8440baa70d5539926c5a0,62.0,77000.0,2.0,33.46,5.0,3.0,4.0,0,Low-Engagement Customers
4293153650e04742b310ac06cd3810e9,55.0,51000.0,2.0,25.9,4.0,4.0,2.0,0,Low-Engagement Customers
2ce2e03319c7446ca9c379b4589da19b,22.0,63000.0,6.0,19.8,5.0,5.0,0.0,0,Low-Engagement Customers
4d15a2a5ac134c58971b910b859bec24,34.0,41000.0,11.0,118.41,4.0,2.0,6.0,4,Frequent Low-Spenders
127cd9d95e6247e5b92bff64d6205a94,46.0,60000.0,26.0,105.58,5.0,4.0,6.0,4,Frequent Low-Spenders
4e233f02eff840c7a3e5ec15d55d7d23,85.0,67000.0,5.0,22.18,3.0,2.0,2.0,3,Affluent Moderates
3ecb372184104ff7bad0f0f60cb56e29,51.0,85000.0,8.0,180.0,5.0,3.0,6.0,3,Affluent Moderates
8a37057f57c4495fb98dfcc8b909b09f,53.0,85000.0,8.0,177.09,5.0,4.0,8.0,1,High-Value Loyalists
11da2f066d3943699d10b61fd276fd1a,51.0,92000.0,15.0,330.92,5.0,5.0,10.0,1,High-Value Loyalists
21b02228cd4441b49bf0b5ff046f4b75,48.0,44000.0,18.0,58.18,5.0,4.0,4.0,4,Frequent Low-Spenders
629fc02d56414d91bca360decdfa9288,52.0,72000.0,3.0,66.05,6.0,6.0,6.0,0,Low-Engagement Customers
c87b50fcdd4a4d2faacff6112243a8dd,62.0,53000.0,10.0,125.56,4.0,3.0,6.0,4,Frequent Low-Spenders
91dc71c4e9bd45b0861825c32f5ee8f9,42.0,62000.0,4.0,12.120000000000001,5.0,1.0,0.0,2,Low-Spend Infrequent Users
3bd5ba038a5c46cc94e8cd5e5739c967,55.0,65000.0,7.0,16.69,3.0,3.0,0.0,2,Low-Spend Infrequent Users
92214286965d4eb1ad14dc8b0b04a20f,27.0,50000.0,8.0,89.78,4.0,4.0,4.0,4,Frequent Low-Spenders
37155a5f4ff248529399c95472186879,68.0,107000.0,8.0,253.72,5.0,2.0,4.0,3,Affluent Moderates
c84fe4915ef74c7f9e81b003d3ecf54c,74.0,83000.0,1.0,25.69,2.0,1.0,2.0,3,Affluent Moderates
041fd7c6b796430a867c4e03d2ff8f4d,77.0,66000.0,26.0,87.13,6.0,3.0,10.0,4,Frequent Low-Spenders
9e91e04b9a344f4e948728bf127967b6,35.0,72000.0,14.0,261.56,5.0,3.0,10.0,1,High-Value Loyalists
348bdc19d65f49b8b98f72c59e64cd89,50.0,69000.0,10.0,184.96,5.0,5.0,6.0,1,High-Value Loyalists
c74beaa959a742309ba8350b7d472676,45.0,94000.0,6.0,162.91,5.0,4.0,6.0,1,High-Value Loyalists
c79da41557894c7eacc5c0156dc1f4dc,82.0,87000.0,8.0,155.64,2.0,2.0,0.0,3,Affluent Moderates
8cc1a1bd309842bfaafd4483d994579b,40.0,57000.0,4.0,79.94999999999999,4.0,4.0,2.0,0,Low-Engagement Customers
83e2ccc1d4374c14865e8e2cf16007dd,66.0,34000.0,4.0,10.6,3.0,2.0,0.0,2,Low-Spend Infrequent Users
17c803219d1348d4a016691c947de0ed,52.0,63000.0,2.0,6.18,3.0,2.0,0.0,2,Low-Spend Infrequent Users
791ffe6d3dc848d2b233129a8096f7ab,57.0,89000.0,9.0,226.68,5.0,3.0,8.0,1,High-Value Loyalists
2204f8ff966f48db90246bd7b5918a7f,68.0,69000.0,9.0,143.03,4.0,3.0,6.0,3,Affluent Moderates
0b9cac742f534951b5af48395dfe6879,21.0,52000.0,5.0,13.98,4.0,3.0,4.0,2,Low-Spend Infrequent Users
b818e955451b47db9fc8767fa45e464e,61.0,44000.0,8.0,17.7,6.0,3.0,4.0,0,Low-Engagement Customers
a9ecb39d93d74696a9d6ddd5355329ff,58.0,54000.0,6.0,21.5,5.0,2.0,0.0,2,Low-Spend Infrequent Users
0d18c37c8b58459f8aa6af2f7b541357,67.0,54000.0,7.0,17.38,4.0,3.0,0.0,2,Low-Spend Infrequent Users
d250372c924747d8ac9a8fa88f584bc3,24.0,61000.0,10.0,155.42000000000002,5.0,2.0,4.0,4,Frequent Low-Spenders
3cea9c09fefb4c33ae2f0aa604af7eb4,26.0,35000.0,4.0,10.1,5.0,3.0,0.0,0,Low-Engagement Customers
87efa556dd48400cb4231a273e088bcf,71.0,105000.0,9.0,212.27,4.0,3.0,8.0,3,Affluent Moderates
4e4c47b460b1414c8ddd459b61f84b9e,69.0,64000.0,9.0,146.49,5.0,4.0,8.0,1,High-Value Loyalists
accec36a10704e1fbaeb9b28b8bc5da8,81.0,93000.0,0.0,0.0,6.0,6.0,0.0,0,Low-Engagement Customers
d1a6fe4c241e4dbf8a4da6fd6c714ac5,62.0,73000.0,11.0,232.19,5.0,5.0,6.0,1,High-Value Loyalists
1eed89c11cc749a4bb93d8cef032821d,38.0,74000.0,8.0,796.77,1.0,1.0,2.0,3,Affluent Moderates
3f279ee9fd0d4195b0b9574ce0ae6923,61.0,82000.0,3.0,62.650000000000006,3.0,1.0,2.0,2,Low-Spend Infrequent Users
2d40e25b82b94b37bbad2332e90a1034,52.0,92000.0,1.0,23.59,4.0,4.0,6.0,3,Affluent Moderates
9df2790f060d430e94f17189042e5671,50.0,70000.0,10.0,218.67,4.0,4.0,6.0,1,High-Value Loyalists
ae47fbe72b274838a2093c3e91bc03dc,54.0,118000.0,7.0,185.60999999999999,5.0,5.0,6.0,1,High-Value Loyalists
018b8f83176d471db63d9733c741fc8a,75.0,109000.0,2.0,37.04,2.0,2.0,4.0,3,Affluent Moderates
d2e88e95c0ae41c0980e4cfc10d162d8,82.0,73000.0,8.0,36.3,6.0,3.0,2.0,0,Low-Engagement Customers
aa4a681ea192401ab469b616f8fe6885,64.0,38000.0,5.0,10.54,6.0,3.0,0.0,0,Low-Engagement Customers
ae40f2f496e84ed29e7638b0bccee9a4,54.0,99000.0,7.0,163.18,6.0,5.0,6.0,1,High-Value Loyalists
5a3d291f75984396b6eb2800206ec716,82.0,72000.0,3.0,16.430000000000003,4.0,2.0,4.0,3,Affluent Moderates
bf2c086d4c4049289df1e0c8ea08f55c,90.0,45000.0,5.0,10.76,4.0,2.0,2.0,2,Low-Spend Infrequent Users
5b9c1a35c0144b6ab584e666dec7c531,34.0,67000.0,7.0,19.060000000000002,5.0,3.0,0.0,0,Low-Engagement Customers
ad3c443c9ce34aa38929b0a84cb14c04,44.0,53000.0,6.0,69.32000000000001,3.0,3.0,2.0,2,Low-Spend Infrequent Users
688e4f2487d44ad8bbcc0f96936f42d6,79.0,106000.0,0.0,0.0,4.0,2.0,0.0,3,Affluent Moderates
73c157a4b8e342fcb5d8479d8cb41e81,58.0,95000.0,11.0,321.03,5.0,2.0,6.0,3,Affluent Moderates
e737ff591120415581ddbe817b8c82ca,47.0,74000.0,14.0,254.69,3.0,2.0,4.0,3,Affluent Moderates
9cb34ff9de694c578154da3efc9915db,60.0,59000.0,7.0,24.6,6.0,3.0,2.0,0,Low-Engagement Customers
32189735a963491082e35dd4c3221690,83.0,54000.0,13.0,164.79,4.0,3.0,4.0,3,Affluent Moderates
4e5923e5deab4d5cb1624a0b1cc9909c,74.0,103000.0,0.0,0.0,6.0,3.0,0.0,0,Low-Engagement Customers
2c5c71b7bfaa4e3e8088fc177e6e559b,89.0,101000.0,5.0,160.52,4.0,3.0,2.0,3,Affluent Moderates
307245a5204947e5a9f952daffcad5f2,68.0,62000.0,9.0,142.3,4.0,4.0,8.0,1,High-Value Loyalists
eb834c09384149e88983526893d4d0cb,63.0,110000.0,5.0,102.67,5.0,2.0,6.0,3,Affluent Moderates
f93884685d214230bbc7c5f46aef121f,40.0,51000.0,5.0,72.2,4.0,4.0,0.0,0,Low-Engagement Customers
341276cb09ac42ad8473be091b52b082,79.0,99000.0,7.0,161.85,4.0,3.0,2.0,3,Affluent Moderates
18174519037241e9b1ddcb627ca4dc41,71.0,30000.0,5.0,12.49,3.0,1.0,0.0,2,Low-Spend Infrequent Users
978d48db5c714a4490d904412f85b502,76.0,114000.0,7.0,183.18,6.0,4.0,10.0,1,High-Value Loyalists
2f442d5255324bbd9438b8a213544532,89.0,96000.0,6.0,140.53,5.0,5.0,8.0,1,High-Value Loyalists
044f41cfd98940119477d73c81f973a3,63.0,36000.0,6.0,12.16,6.0,4.0,2.0,0,Low-Engagement Customers
031387fa9cfd47e88f4e4b4b4cb71925,41.0,83000.0,0.0,0.0,5.0,5.0,0.0,0,Low-Engagement Customers
8c410d84af08408fb41f953c93ffac27,71.0,56000.0,10.0,164.16,6.0,5.0,12.0,1,High-Value Loyalists
09e7e40eb89943458f4f79fe2e023dd6,44.0,36000.0,6.0,21.560000000000002,6.0,3.0,2.0,0,Low-Engagement Customers
97b2476046874de3975e8feee95a1f98,25.0,73000.0,10.0,69.87,1.0,1.0,2.0,2,Low-Spend Infrequent Users
0ad8a9771c59432f9641e48212b2ccb9,27.0,70000.0,5.0,13.290000000000001,4.0,2.0,0.0,2,Low-Spend Infrequent Users
2a01c11fdcc441bcbdc842c35adccb2f,67.0,106000.0,6.0,171.87,5.0,4.0,2.0,3,Affluent Moderates
78e9be059fce46a1b610f74e0e812a4a,77.0,80000.0,10.0,222.36,6.0,6.0,10.0,1,High-Value Loyalists
ad4fd34e9f7e4fd9ae627edd73ca2081,68.0,66000.0,10.0,145.28,5.0,5.0,10.0,1,High-Value Loyalists
0e4e14ea66044a9eaee0b5efbff6ca62,37.0,64000.0,16.0,261.37,5.0,4.0,6.0,4,Frequent Low-Spenders
ace4a7611da040748d1722cda25b6280,55.0,60000.0,6.0,15.33,4.0,1.0,0.0,2,Low-Spend Infrequent Users
c894971c9e414a358b84255199727636,30.0,54000.0,20.0,700.47,6.0,6.0,10.0,1,High-Value Loyalists
e277228d77a64ab896d6dd6d88f970d3,51.0,54000.0,19.0,252.23,6.0,5.0,8.0,4,Frequent Low-Spenders
f20277feaaca40b1ae9295a1d897fcb8,47.0,92000.0,2.0,66.15,4.0,4.0,2.0,3,Affluent Moderates
6f04a68e93df44d1b2329a399016452b,49.0,48000.0,8.0,19.240000000000002,5.0,4.0,2.0,0,Low-Engagement Customers
27aa749a6f5f448e91327028a2ac7fb5,32.0,38000.0,18.0,172.35,6.0,5.0,8.0,4,Frequent Low-Spenders
